PROVIDER NAME,EMIRATE,NETWORK_TIER,AREA,TELEPHONE,PROVIDER TYPE,lat,lon
BURJEEL PHARMACY L.L.C- BRANCH 2,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MAZYAD MALL,02-5534847,PHARMACY,24.373233,54.537833
BURJEEL PHARMACY L.L.C. BRANCH 7,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL WAHDA MALL,02-4437788,PHARMACY,24.470267,54.372717
KHYBER PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANIYAS,02-5836800,PHARMACY,24.282517,54.647883
BANGASH PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANIYAS EAST,02-5834217,PHARMACY,24.282494,54.648103
GHIYATHI PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","GHIYATHI, AL RUWAIS",02-8741797,PHARMACY,23.8428,52.809783
AL NAJAH PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL NUAIMI TOWER,MINA STREET",02-6744832,PHARMACY,24.501728,54.37344
AL AMIR PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BEHIND LULU CENTRE,AL WATHBA ST,",02-5836707,PHARMACY,24.297533,54.637017
DANA MEDICAL CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANIYAS,02-6661551,PHARMACY,24.297467,54.63775
ALRAI PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BEHIND SUZUKI SHOWROOM,SALAAM ST.",02-6508661,PHARMACY,24.52875,54.37027
AL RIYADH PHARMACY L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL SHAWAMEK AREA,02-5829930,PHARMACY,24.327967,54.644367
NEW NATIONAL MEDICAL CENTRE PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSAFFAH,02-5520110,PHARMACY,24.490033,54.373067
CORNICHE HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",CORNICHE HOSPITAL,02-6724900,PHARMACY,24.501391,54.369795
ALDHAFRA FAMILY MEDICINE CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL GHARBIA,",02-8822204,PHARMACY,23.640838,53.707858
GAYATHY HOSPITAL  PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",GHIATHY,02-8721555,PHARMACY,23.843454,52.808374
DELMA HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",DELMA STREET,02-8839140,PHARMACY,24.468974,54.383609
MARFA HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MARFA,02-8741666,PHARMACY,24.085383,53.49815
LIWA HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",LIWA,02-8835000,PHARMACY,23.147283,53.807417
MADINAT ZAYED HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MADINAT ZAYED,02-8071430,PHARMACY,24.483617,54.361033
SILA HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",GOLD SOUK,02-8844444,PHARMACY,24.0688,51.762017
BEHAVIORAL SCIENCE PAVILION OP  PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KARAMA STREET,02-8192678,PHARMACY,24.472478,54.364615
SHEIKH KHALIFA MC PHARMACY- DIABETIC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AIRPORT ROAD,02-8194065,PHARMACY,24.469683,54.366583
ALBATEEN FAMILY MEDICINE CLINIC PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MANHAL STREET (9TH),02-8191339,PHARMACY,24.460486,54.341489
SHEIKH KHALIFA MEDICAL CITY PHARMACY - OUTPATIENT,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","KARAMA STREET, ABU DHABI CITY,",02-4170209,PHARMACY,24.469881,54.363636
SHEIKH KHALIFA MEDICAL CITY ER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KARAMA STREET,02-8192806,PHARMACY,24.469683,54.366583
AL ROWDA FAMILY MEDICINE CLINIC PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",DELAM STREET,02-8191166,PHARMACY,24.462744,54.367813
AL ZAFARANAH FAMILY MEDICINE CLINIC PHAR,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KARAMA STREET,02-8191108,PHARMACY,24.434989,54.433938
AL MAQTAA  HEALTHCARE CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BAIN AL JISREEN,MAFRAQ",02-5584611,PHARMACY,24.402111,54.504582
KHALIFA A HEALTH CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KHALIFA A,02-5561695,PHARMACY,24.427733,54.565
AL BAHYA HEALTHCARE CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",SHAHAMA,02-5632599,PHARMACY,24.29755,54.637667
SAMHA HEALTH CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL SAMHA AREA,02-5620048,PHARMACY,24.665233,54.77275
AL RAHBA HOSPITAL PHARMACY - OUTPATIENT,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SHAHAMA, AL RAHBA.",02-5064444,PHARMACY,24.572655,54.694667
BANIYAS HEALTH CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANIYAS EAST,02-5835599,PHARMACY,24.293799,54.657931
AL KHAZNA HEALTH CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","E22, AL AIN HIGH WAY,AL KHATIM,",02-5661350,PHARMACY,24.17085,55.113933
AL SHAM PHARMACY - LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MADINAT ZAYED STREET,02-6318929,PHARMACY,24.479462,54.365876
ASTER PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SAFEERMALL, MUSSAFAH",02-5529395,PHARMACY,24.342883,54.530217
BURJEEL PHARMACY L.L.C- BRANCH 4,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSHRIF MALL,02-4470407,PHARMACY,24.434283,54.4126
ADVANCE CURE PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","NEAR AL BATEEN MALL, AL BATEEN AREA",02-4100934,PHARMACY,24.460554,54.380408
BURJEEL PHARMACY LLC-BRANCH 8,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MADINAT ZAYED SHOPPING CENTER NEAR LULU HYPER MARKET,02-6588918,PHARMACY,24.483367,54.365483
BURJEEL HOSPITAL PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",NAJDA STREET,02-2222332,PHARMACY,24.479208,54.381111
AL SENAEYA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BUILDING NO.268, MAIN STREET, TOWN CENTER, CENTRAL DISTRICT, NEAR AL ANSARI EXCHANGE, AL AIN",03-7657105,PHARMACY,24.220615,55.773293
TARGET PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",UMM AL NAR,02-5585133,PHARMACY,24.40755,54.504917
TABARAK PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",SHAHAMA,02-5632596,PHARMACY,24.318451,54.538903
TABARAK NEW PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL SHAHAMA,02-5633588,PHARMACY,24.318451,54.538903
HARLEY STREET PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MARINA VILLAGE , VILLA A20,21,22",02-6133803,PHARMACY,24.473567,54.319017
HEALTH FIRST PHARMACY - BRANCH 10,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MUSSAFAH , SECTOR 15A",02-5549055,PHARMACY,24.338383,54.46255
LA ROCHE PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",TOURIST CLUB AREA,02-6455899,PHARMACY,24.496,54.381167
MEDICINA PHARAMCY BRANCH 13,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AIRPORT ROAD,02-4419287,PHARMACY,24.468267,54.371667
STANDARD PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MUSSAFFAH -37,SANAIYYA, BEHIND THE",02-5513394,PHARMACY,24.3518,54.497
ALIYA PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",ELECTRA ST BEHIND CASSTLE HOTEL APT,02-6391232,PHARMACY,24.485403,54.360881
SKY COMMUNITY PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SUN&SKY TOWER MALL, AL REEM ISLAND",02-6760880,PHARMACY,24.495833,54.407504
KHALIDIYA LULU PHARMACY-LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KHALIDIYAH MALL,02-6354440,PHARMACY,24.469867,54.351933
MARINA PHARMACY ALCORNICHE,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",HAMDAN BIN MOHAMMED ST,02-6399554,PHARMACY,24.489567,54.355517
AL ANQOOD PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","WESTERN REGION, MADINAT ZAYED",02-8845355,PHARMACY,23.650735,53.706137
RAINBOW CITY PHARMACY L.L.C.,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSAFFAH-M4,02-5542322,PHARMACY,24.366333,54.518183
AL MANARA PHARMACY - KHALIFA CITY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","KHALIFA CITY A,NEAR ONE STOP CENTRE",02-5562979,PHARMACY,24.400436,54.575394
AL DHANNAH HOSPITAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",WESTERN REGION,02-6020683,PHARMACY,24.1019,52.736267
BURJEEL PHARMACY L.L.C - BRANCH 11,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KHALIFA CITY A,02-5562421,PHARMACY,24.42085,54.565517
BIN SINA AL KHALIDIYA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",ZAYED 1ST STREE.AL AHLIA TOWER BLDG,02-6395246,PHARMACY,24.472819,54.346409
BURJEEL PHARMACY L.L.C. BRANCH 5,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","Y TOWER , AL NAHYAN CAMP AREA",02-6438330,PHARMACY,24.465333,54.38665
BURJEEL PHARMACY L.L.C. BRANCH 6,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL WEHDA MALL EXT. AL WEHDA STREET,02-4918787,PHARMACY,24.469967,54.371483
BURJEEL PHARMACY L.L.C.- BRANCH 3,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","EMPOST BUILDING, KHALIFA CITY A",02-5567933,PHARMACY,24.406467,54.5691
AL MANARA GLOBAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MINA CENTER, MINA COOP, MINA AREA",02-6734777,PHARMACY,24.469709,54.342509
AL MANARA INTERNATIONAL PHARMACY L.LC-O.P.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","TOWER B,C66,MUROOR STREET,AL NAHYAN",02-6814644,PHARMACY,24.491142,54.360897
HAMEEM PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",SANAYYA:M14:MUSSAFAH,02-5535544,PHARMACY,24.490923,54.374897
HEALTH PLUS PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","32ND ST, SHEIKH MUSALLAM VILLA 2,AL",02-6655422,PHARMACY,24.445383,54.361333
FIRST MEDICAL CENTRE PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL KHALEEJ AL ARABI 30TH STREET,02-6666992,PHARMACY,24.46397,54.347023
BAREEN PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MOHAMED BIN ZAYED CITY,",02-5545554,PHARMACY,24.3391,54.5545
ADVANCED CARE PHARMACY L.L.C.,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AIRPORT ROAD,02-6336231,PHARMACY,24.471097,54.369156
JUNAID PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","LIWA, WESTERN REGION",02-8822844,PHARMACY,23.132717,53.799367
JUNAID PHARMACY BRANCH 1,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MUSAFFAH SHABIYA KHALIFA SECTOR 10,",02-5529944,PHARMACY,24.337393,54.534753
HEALTH FIRST PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","CORNICHE,SHOP NO :4 -2A,GROUND FLOOR, AL MAJAZ 2, BUHAIRAH CORNICHE",,PHARMACY,24.537699,54.425255
MEDICINA INTERNATIONAL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","GUNA HAMED AL ZAHABBI, MURROR RAOD",02-4496744,PHARMACY,24.434316,54.43283
MEDICINA GULF PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SHOP NO-6, NASSER AH.BLG,MUROOR ST",02-4483454,PHARMACY,24.438738,54.415142
SMART HEALTH PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MAFRAQ BANIYAS,02-5859567,PHARMACY,24.310265,54.606502
HEALTH LINE  PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BANIYAS EAST 11 , VILLA 121",02-5668600,PHARMACY,24.308685,54.646596
VENUS PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MOHAMED BIN ZAIED CITY, M9,MUSAFFAH",02-5526629,PHARMACY,24.379343,54.50575
APOLLO PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","PLOT C-128,HAMDAN ST,",02-6344747,PHARMACY,24.489721,54.364102
AL SHAMKHA HEALTHCARE CENTER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","NEAR BANIYAS FARMS,SHAMKHA AREA,",02-8116651,PHARMACY,24.382658,54.708345
LIFE CARE INTERNATIONAL PHARMACY LLC -BR,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","NEAR VILLAGE MALL,BEHIND ADNOC PUMP",02-5557747,PHARMACY,24.360793,54.52104
HEALTH PLUS PHARMACY LLC BRANCH 1,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",KARAMA STREET,02-4434450,PHARMACY,24.44545,54.361327
LOTUS PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","PRESTIGE TOWER, NEAR CAPITAL MALL,",02-5552325,PHARMACY,24.374805,54.531424
LLH PHARMACY L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MARINA PLAZA,MUROOR ROAD",02-6263080,PHARMACY,24.466667,54.366666
VISAGE PHARMACY L L C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","HANA TOWER,CORNICHE,KHALIDIYA",02-6815082,PHARMACY,24.471463,54.3398
BIN SINA PARAGON MALL PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",REEM ISLAND,02-6585203,PHARMACY,24.490343,54.393007
AL SILA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL NASHEMI BLDG,NEAR UAE EXCHANGE",02-8722087,PHARMACY,24.070595,51.763768
MEDICAL SERVICES ADMIN OF ABU DHABI POLI,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MUROOR ROAD POLICE ACADEMY AREA,02-5128001,PHARMACY,24.43863,54.424635
CORNICHE HOSPITAL PHARMACY-OUTPATIENT,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",NEXT TO SHERATON HOTEL,02-6724900,PHARMACY,24.501405,54.36973
BURJEEL PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","BURJEEL MEDICAL CENTRE,BAHIA",02-5821555,PHARMACY,24.47925,54.380851
BAIN AL QASRAIN PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","ADNEC EXHIBITION CENTRE, AL JAZEERA",02-4469300,PHARMACY,24.405991,54.504574
AL AHLIA NATIONAL PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","M-24, MUSAFFAH",02-8119119,PHARMACY,24.382578,54.498261
BRIGHT POINT PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL JAZIRA SPORTS & CULTURE CLUB E22,02-5558825,PHARMACY,24.452462,54.3936
AL ASAALA PHARMACY L L C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSSAFAH EAST 9  MOHAMMAD BIN ZAYED,02-5595400,PHARMACY,24.344802,54.532493
MEDICINA AL MUNEERA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL RAHA ST - AL RAHAH,02-5513004,PHARMACY,24.452112,54.604501
SUPER CARE AL SALAM PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SHAABIYA 12, BEHIND JOTUN PAINTS",02-5528119,PHARMACY,24.318932,54.538204
AL MANARA AL BAHIA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","DEERFIELD,AL BAHIA",02-5635059,PHARMACY,24.523873,54.6716
SAHARA PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUSAFFAH M44,02-5556392,PHARMACY,25.271657,55.380962
KINGS CLINICS PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MUBARAK BIN MOHD ST,SHINING TOWERS",02-5014047,PHARMACY,24.47,54.35
HEALTH POINT HOSPITAL LLC OUTPATIENT PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","ZAYED SPORTS CITY,HEALTH POINT HOSP",02-4929115,PHARMACY,24.418957,54.453038
MEDICLINIC PHARMACY - AL MAMOURA,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MAMOURA,02-6728229,PHARMACY,24.465397,54.385771
MEDLINE PHARMACY L.L.C,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","M26, MUSAFFAH",02-5530577,PHARMACY,24.35427,54.52258
PHARMACY BLUE MOON,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","ARADAH ST,NAHYAN CAMP",02-4412882,PHARMACY,24.475548,54.38041
EMIRATES JORDANIAN PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANIYAS,02-5836999,PHARMACY,24.275677,54.645643
NIDHAM GHIYATHI PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",GHAYATHI,02-8741791,PHARMACY,23.843657,52.808455
ASTER PHARMACIES GROUP LLC - BRANCH OF ABUDHABI 3,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","HAMDAN STREET, NEAR LULU EXCHANGE",02-6229870,PHARMACY,24.474157,54.378089
ASTER PHARMACIES GROUP LLC - BRANCH OF ABU DHABI 1,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL FALAH STREET,BEHIND JUMBO ELECT",02-6437625,PHARMACY,24.478888,54.371361
ALDHAFRA FIELDS PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BEDA ZAYED,02-8845273,PHARMACY,23.659103,53.725285
HEALTH FIRST PHARMACY BRANCH 12,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","G12,ALFALAH VILLAGE 1,ALFALAH CITY",02-6746989,PHARMACY,24.446481,54.71682
HEALTH FIRST PHARMACY - BRANCH 13,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SHOP 417,AL BAHIA",02-5646364,PHARMACY,24.523347,54.6705
UNIQUE AL AHALIA PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","NEAR RED CRESCENT, SHABIYA, MUSAFFA",02-5595441,PHARMACY,24.487075,54.361533
ASTER PHARMACIES GROUP LLC - BRANCH OF ABU DHABI 2,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","DAR AL THALMIYA, KHALIDIYA",02-6280582,PHARMACY,24.488844,54.361145
MEDEOR 24X7 PHARMACY-LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","OPP EMPOST, MADINAT ZAYED AREA,",02-6900500,PHARMACY,24.480285,54.369838
MEDICLINIC PHARMACY - MARAWAH,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","VILLAGE 1, BRAKA NUCLEAR POWER PLANT WESTERN REGION,MARAWAH",02-8944994,PHARMACY,23.967379,52.284218
CLEVELAND CLINIC ABU DHABI PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL MAQAM TOWER, AL MARYAH ISLAND",02-5019000,PHARMACY,24.497373,54.389354
SUMER PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",ALRAHBA ALSHELELAH,02-5636309,PHARMACY,24.63811,54.677616
BURJEEL PHARMACY AL SHAMKHA LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL SHAMKHA,02-2051302,PHARMACY,24.387249,54.722869
ASTER PHARMACIES GROUP LLC - BRANCH OF ABU DHABI 4,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","SHOP NO 7&8,DEFENCE ROAD",02-4478482,PHARMACY,24.495249,54.37577
AL HOSN PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","ALHILAL BANK BUILDING, CORNICHE",02-6662739,PHARMACY,24.467276,54.334132
EXPRESS GHAYATHI PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","GHAYATHI,WESTERN",02-8740121,PHARMACY,23.915213,52.803928
KNIGHTS PHARMACY-LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","MUTANABBI SHOP,MADINAT ZAYED",02-6767966,PHARMACY,24.480845,54.362888
SUPER CARE PHARMACY - BRANCH OF ABU DHABI 2,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","DELMA MALL, AL MUSSAFFA",02-6653350,PHARMACY,24.333146,54.523867
AL HENDAWY PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MURROR ROAD,02-6214666,PHARMACY,24.484174,54.367474
CANADIAN PHARMACY L.L.C (,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",DELMA ST. COR. AIRPORT ROAD,02-5559999,PHARMACY,24.462597,54.378311
ALFALAH LAND MARK PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL FALAH STREET, BEHIND ABU DHABI I",02-5621528,PHARMACY,24.428514,54.728892
ALTHIQA AL DOWALIAH PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",MUROOR STREET,02-4419283,PHARMACY,24.47751,54.37109
PRESTIGE PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BANI YAS WEST- KABRAT-,02-5858588,PHARMACY,24.476734,54.352168
AL TADAWI PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",NEW INDUSTRIAL AREA & MADINAT ZAYED,02-8846252,PHARMACY,23.659559,53.705198
DAWAKUM PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",NEW SHAHAMA,02-4479514,PHARMACY,24.536132,54.691826
DANAT AL EMARAT HOSPITAL PHARMACY LLC,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",ABU DHABI GATE CITY,02-6149905,PHARMACY,24.396962,54.500995
TIME CURE PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",36 M1 MUSSAFAH,02-5508998,PHARMACY,24.344281,54.496111
GOLDEN HEALTH PHARMACY,AUH,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",HAMEEM ROAD - AL SALAM LIVING CITY,02-5855550,PHARMACY,24.153813,54.428825
