Index,P,PROVIDER TYPE,PROVIDER NAME,AREA,ADDRESS,TELEPHONE,lat,lon,formatted,confidence,attribution
926,DXB,PHARMACY,ASTER PHARMACY 113 (BR OF ASTER PHARMACIES GROUP LLC),MIRDIFF,"MIRDIF MALL, UPTOWN MIRDIF,NEAR TO MEDCARE CLINIC, MIRDIF",04-2839542,25.22216905,55.433906557479,"Mirdif Mall, 62b Street, Mirdif, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
927,DXB,PHARMACY,ASTER PHARMACY 109 (BR OF ASTER PHARMACIES GROUP LLC),MIRDIFF,"MIRDIFF BUILDING, NEAR TO DUBAI GEANT SUPERMARKET, GHUROOB COMMUNITY, MIRDIFF",04-4582727,,,,,
928,DXB,PHARMACY,BETA PHARMACY,MIRDIFF,MIRDIFF CITY CENTRE,04-2840678,25.2160215,55.4080668294019,"Mirdif City Center, D85, Mirdif, Dubai, United Arab Emirates",,© OpenStreetMap contributors
929,DXB,PHARMACY,ASTER PHARMACY 112 (BR OF ASTER PHARMACIES GROUP LLC),BUR DUBAI,"MOHAMED KHLIFA AL KHALAFI BUILDING, GROUND FLOOR,ROLLA STREET, AL RAFFA, BURDUBAI",04-3252920,25.257067,55.293293,"RainTree Rolla Hotel, AL Rolla Street, Al Raffa, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
930,DXB,PHARMACY,ASTER PHARMACY111 (BR OF ASTER PHARMACIES GROUP LLC),MUHAISNAH,"MUHAISINAH PLAZA BUILDING, SHOP NO.6,MUHAISANAH 4,LULU VILLAGE, NEAR THE INDIAN ACADEMY, BEHIND MADINA MALL",04-2593195,25.21544085,55.2807648904782,"Legatum Plaza, Al Sukook Street, Zabeel, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
931,DXB,PHARMACY,UNION PHARMACY,BUR DUBAI,NEAR AL RAFA POLY CLINIC - BUR DUBAI,04-3935619,25.187836,55.284686,"Al Wajeha Al Maeyah, Bussiness Bay, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
932,DXB,PHARMACY,IBN AL AZWAR PHARMACY,AL AWEER,NEAR EPPCO - AL AWEER,04-3331504,25.165522,55.526962,"Al Aweer, DU, United Arab Emirates",,Who's On First
933,DXB,PHARMACY,RASHID PHARMACY (BR OF ASTER PHARMACIES GROUP LLC),DEIRA,"NEAR GUEST LINE HOTEL ,RIGGA ROAD DEIRA",04 2211739,25.2652961,55.3213316366978,"IBIS Hotel Dubai Al Rigga, 26b Street, Al Muraqqabat, Dubai, Deira, United Arab Emirates",,© OpenStreetMap contributors
934,DXB,PHARMACY,AL QOZE PHARMACY,AL QUOZ,NEAR KHALIFA SUPER MARKET - AL QOUZ,04-3384401,25.134,55.24791,"Al Qouz Ind.Second, DU, United Arab Emirates",,GeoNames
935,DXB,PHARMACY,AL WARQA PHARMACY,WARQA,NEAR MASS SUPER MARKET - WARQA,04-2801691,,,,,
936,DXB,PHARMACY,NEW AL QUOZ PHARMACY,AL QUOZ,NEAR NEW GRAND MALL - AL QOUZ,04-3385854,25.142057,55.223292,"Al Qouz Central Street, Al Quoz Industrial Area 1, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
937,DXB,PHARMACY,CENTRAL MARKET PHARMACY,QUSAIS,"NEAR TO DAFZA METRO STATION, AL QUSAIS,DUBAI",04-2613451,25.27807,55.37245,"Al Qusais First, DU, United Arab Emirates",,GeoNames
938,DXB,PHARMACY,AL SHIFA PHARMACY,KARAMA,NEAR UNION MEDICAL CENTRE - KARAMA,04-3969469,,,,,
939,DXB,PHARMACY,MEDSAVE PHARMACY,MIRDIFF,"NEAR UNION NATIONAL BANK, MIRDIFF",04-2847600,25.3160957,55.3765997,"Union National Bank, Al Taawun Street, Al Khan, Sharjah, Al Taawun, United Arab Emirates",,© OpenStreetMap contributors
940,DXB,PHARMACY,MEDICOM PHARMACY 10 (AL SABA PHARMACY),MIRDIFF,"NEAR UP TOWN MALL, MIRDIF, DUBAI",04-2885995,25.222213,55.419531,"Mirdif, Dubai, DU, United Arab Emirates",,Who's On First
941,DXB,PHARMACY,ASTER JEBEL ALI PHARMACY,JEBEL ALI,"NESTO HYPERMARKET, SHOP NO 5, JEBELALI",04 8840237,25.291314,55.3969412,"NooK Curtains Dubai, Shop No 5 Amman Street, Al Qusais Industrial 4, Dubai, DU, United Arab Emirates",0.181818181818182,© OpenStreetMap contributors
942,DXB,PHARMACY,ASTER PHARMACY 118 (BR OF ASTER PHARMACIES GROUP LLC),ALNAHDA,"OBS BUILDING,GROUND FLOOR, SHOP NO.2, NEAR TO NMC HOSPITAL, AMMAN ROAD,AL NAHDA",04-2393397,25.290595,55.366979,"35588 98127 Amman Street, Al Nahda, Dubai, DU, United Arab Emirates",,© OpenAddresses contributors
943,DXB,PHARMACY,MEDICOM PHARMACY 9 (AL QEMMA PHARMACY),QUSAIS,"OPP. AL QUSAIS POLICE STATION, AL QUSAIS, DUBAI",04-2640818,25.27807,55.37245,"Al Qusais First, DU, United Arab Emirates",,GeoNames
944,DXB,PHARMACY,MEDICOM PHARMACY 11 (NEW FLAME PHARMACY),QUSAIS,"OPP. AL TOWAR CENTRE, AL QUSAIS, DUBAI",04-2611551,25.706071,55.8066788,"Al Afia Medical Center, Sheikh Mohammad Bin Salem Road, Al Jazeera Al Hamra, Al jazeera heritage village, RK, United Arab Emirates",,© OpenStreetMap contributors
945,DXB,PHARMACY,AL JUMA PHARMACY,KARAMA,OPP. TO LULU CENTRE - KARAMA,04-3348981,25.244961,55.304744,"Al Karama, Dubai, DU, United Arab Emirates",,Who's On First
946,DXB,PHARMACY,IQRA PHARMACY,DEIRA,"OPP: AL FUTHAIM MASJID, DEIRA",04 2289164,25.187836,55.284686,"Al Wajeha Al Maeyah, Bussiness Bay, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
947,DXB,PHARMACY,MEDICOM PHARMACY 13 (HOME PHARMACY),BUR DUBAI,"OPPOSTIE :- KARAMA CENTRE, KARAMA, DUBAI",04-3977739,25.1388961,55.2531021,"Karama Medical Centre, 9a Street, Al Quoz Community, Dubai, Al Quoz Industrial Area 2, United Arab Emirates",,© OpenStreetMap contributors
948,DXB,PHARMACY,ASTER JBR PHARMACY,JUMEIRAH,"P42, PLAZA LEVEL,SADAF4,THE WALK, JBR",04-4471127,25.078803,55.133795,"Tower A The Walk, Al Sufouh 2, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
949,DXB,PHARMACY,ASTER PHARMACY 205 (BR OF ASTER PHARMACIES GROUP LLC),JUMEIRAH,"PVE-G-02, PALM VIEWS EAST BUILDING, PALM JUMEIRA",04-4221521,25.11653175,55.1365091453729,"Palm Views East, Palm Jumeirah, Dubai, United Arab Emirates",,© OpenStreetMap contributors
950,DXB,PHARMACY,ASTER PHARMACY 157(BR OF ASTER PHARMACIES GROUP LLC),SAFA,"R-531-A, DAR AL WASL BUILDING, AL WASL ROAD, NEAR SAFA",04-3867820,25.334484,55.3621697,"Al Khan R/A Restaurant, Al Khan Street, Al Khalidiyah, Sharjah, SH, United Arab Emirates",,© OpenStreetMap contributors
951,DXB,PHARMACY,ASTER DIP PHARMACY L.L.C,DIP,"RAMLA HYPERMARKET, DUBAI INVESTMENT PARK",04-8800996,25.0108734,55.165855,"Dubai Investment Park, 6 Street, Dubai Investments Park, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
952,DXB,PHARMACY,ASTER PHARMACY 137 (BR OF ASTER PHARMACIES GROUP LLC),INTERNATIONAL CITY,"RETAIL SHOP 6, THE PAVILION MALL, OPP. UNION CO OP, FRANCE CLUSTER, INTERNATIONAL CITY",04-4224515,,,,,
953,DXB,PHARMACY,ASTER PHARMACY 127 (BR OF ASTER PHARMACIES GROUP LLC),MARINA,"ROYAL OCEANIC-1, S-01,PLOT NO:218, MARSA DUBAI, NEAR LE MERIDIEN, DUBAI MARINA",04-5547096,25.08426095,55.1418242423503,"The Royal Oceanic, Al Falea Street, Dubai Marina, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
954,DXB,PHARMACY,ASTER PHARMACY 98,MUHAISNAH,"SAMEYA KHALIFA MOHAMED AL FUQAEI BUILDING, SHOP NO.8, 24TH STREET. MUHAISINA 2ND, SONAPUR",04-2521711,25.260542,55.422849,"41175 94731 24 Street, Muhaisnah 2, Dubai, DU, United Arab Emirates",5.10315666690967E-05,© OpenAddresses contributors
955,DXB,PHARMACY,ASTER PHARMACY 149(BR OF ASTER PHARMACIES GROUP LLC),BUR DUBAI,"SHOP 2 & 3, AL WASL BUILDING, BEHIND LULU HYPERMARKET, KARAMA, BURDUBAI",04-3426145,25.137935,55.399563,"International City 2 and 3, Warisan, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
956,DXB,PHARMACY,ASTER PHARMACY 102 (BR OF ASTER PHARMACIES GROUP LLC),QUSAIS,"SHOP 2, SAEED HAMAD MUSLEH JAMHOUR AL AHBABI BUILDING, AL QUSAIS SECOND, AL QUSAIS",04-2610833,25.1733317,55.3073188,"Moonlash Ladies Beauty Salon, Riviera 23, Shop 2 Al Meydan Street, MBR- Al Merkad, Dubai, Meydan, United Arab Emirates",,© OpenStreetMap contributors
957,DXB,PHARMACY,ASTER PHARMACY 146(BR OF ASTER PHARMACIES GROUP LLC),BUR DUBAI,"SHOP 32, SOUK AL KABEER BUILDING, NEAR TO GHUBAIBA BUS STAION, OPP.ETISALAT-SHINDAGHA, NEXT TO ACCESS CLINIC , BURDUBAI",04-3271059,24.2039973,55.7621047,"du Shop, Al Mawsou'ah 1 Street, Industrial Area, AZ, United Arab Emirates",,© OpenStreetMap contributors
958,DXB,PHARMACY,ASTER PHARMACY 144 (BR OF ASTER PHARMACIES GROUP LLC),HOR AL ANZ,"SHOP 5 & 6, AL MAALIK BUIDING, AL SHAB, NEAR TO TALAL SUPER MARKET, HOR AL ANZ",04-2212250,25.56126305,55.560699809962,"6 Al Gettaha Street, Al Dar Al Baidah, Umm Al Quwain, UQ, United Arab Emirates",0.0615384615384616,© OpenStreetMap contributors
959,DXB,PHARMACY,ASTER PHARMACY 5 (BR OF ASTER PHARMACIES GROUP LLC),INTERNATIONAL CITY,"SHOP NO 02, CBD 29, AL WARSAN 1ST, INTERNATIONAL CITY",04-4473169,24.419896,54.60023,"29 Canadian International School, Khalifa City, Abu Dhabi, AZ, United Arab Emirates",0,© OpenStreetMap contributors
960,DXB,PHARMACY,ASTER PHARMACY 135 (BR OF ASTER PHARMACIES GROUP LLC),INTERNATIONAL CITY,"SHOP NO 04, RUSHIA V 19,INTERNATIONAL CITY",04-4511674,25.270691,55.374214,"Shop-n-Save, 19 Al Nahda Street, Al Quasis 1, Dubai, DU, United Arab Emirates",0,© OpenStreetMap contributors
961,DXB,PHARMACY,ASTER PHARMACY 114 (BR OF ASTER PHARMACIES GROUP LLC),AL BARSHA,"SHOP NO 12 & 13,ASWAQ MALL, AL BARSHA SOUTH 1, AL BARSHA",04-3851455,25.0797423,55.2452180751043,"Maisan Towers, 1 123 Street, Al Barsha South 2, Dubai, Al Barsha, United Arab Emirates",0.81,© OpenStreetMap contributors
962,DXB,PHARMACY,ASTER PHARMACY 131(BR OF ASTER PHARMACIES GROUP LLC),AL BARSHA,"SHOP NO 17, TRIO BUILDING, AL BARSHA FIRST, AL BARSHA DUBAI",04-3475733,25.1161765,55.2038938,"Al Emad, Shop no. 13 Al Seedaf 1 Street, Al Barsha 1, Dubai, Al Barsha, United Arab Emirates",,© OpenStreetMap contributors
963,DXB,PHARMACY,ASTER AL HAYAT PHARMACY(BR OF ASTER PHARMACIES GROUP LLC),BUR DUBAI,"SHOP NO 3,EASA SALEH AL GURG BUILDING,NEAR TO AL ADIL SUPER MARKET, ROLLA STREET,BURDUBAI",04-3552633,25.2717103,55.3001974,"Easa Saleh Al Gurg, Al Soor Street, Al Sabkha, Deira, United Arab Emirates",,© OpenStreetMap contributors
964,DXB,PHARMACY,ASTER PHARMACY 142 (BR OF ASTER PHARMACIES GROUP LLC),QUSAIS,"SHOP NO 4 , AL FATTAN BUILDING ,PLOT NO 233-129, BEHIND SNOW WHITE, AL QUSAIS",04-2205966,25.27807,55.37245,"Al Qusais First, DU, United Arab Emirates",,GeoNames
965,DXB,PHARMACY,ASTER PHARMACY 148(BR OF ASTER PHARMACIES GROUP LLC),KARAMA,"SHOP NO 5, JAMAL OMAR BIN HYDER BUILDING, 4B STREET, SHEIKH KHALIFA BIN ZAYED ROAD, KARAMA",04-3404005,25.244961,55.304744,"Al Karama, Dubai, DU, United Arab Emirates",,Who's On First
966,DXB,PHARMACY,ASTER PHARMACY 136 (BR OF ASTER PHARMACIES GROUP LLC),AL QUOZ,"SHOP NO FFA01, AL KHAIL MALL, LATIFAT BIN HAMDAN STREET, INDUSTRIAL AREA 4, ALQOUSE",04-3806940,25.064436,55.3136707,"Paavo's Pizza, D54 Sheikh Zayed bin Hamdan Al Nahyan Street, Wadi Al Safa 5, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
967,DXB,PHARMACY,ASTER PHARMACY 141 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI,"SHOP NO SC 021, GROUND FLOOR, DUBAI FESTIVAL CITY MALL",04-2365418,,,,,
968,DXB,PHARMACY,ASTER PHARMACY 117 (BR OF ASTER PHARMACIES GROUP LLC),BUR DUBAI,"SHOP NO. 12, BAIT AL-WALEED, AL-SOUQ AL-KABEER, MANKHOOL,BUR DUBAI, UAE",04-3252882,,,,,
969,DXB,PHARMACY,NEW ASTER PHARMACY JLT,JLT,"SHOP NO. G011-B, RED DIAMOND BUILDING JLT",04-3697728,25.176083,55.2212224,"Machu Picchu, SHOP NR 6 Jumeira Street, Jumeirah, Dubai, Jumeirah 3, United Arab Emirates",0,© OpenStreetMap contributors
970,DXB,PHARMACY,ASTER DCC PHARMACY LLC,DUBAI,"SHOP NO. M-020, 1ST FLOOR, DEIRA CITY CENTER, DEIRA, OPPOSITE CARREFOUR HYPERMARKET, DUBAI, UAE",04-2210732,,,,,
971,DXB,PHARMACY,ASTER PHARMACY 119 (BR OF ASTER PHARMACIES GROUP LLC),JUMEIRAH,"SHOP NO.7,MEADOWS, EMIRATES HILLS 3,ENOC 1086",04-5546797,25.067147,55.162656,"3 Emirates Hills, Emirates Hills, Dubai, DU, United Arab Emirates",0,© OpenStreetMap contributors
972,DXB,PHARMACY,ASTER PHARMACY 145(BR OF ASTER PHARMACIES GROUP LLC),KARAMA,"SHOP NO: 1, AL WALEED BUILDING. OPP. UNION MEDICAL CENTRE, IRANIAN SCHOOL ROAD, KARAMA",04-3547745,25.244961,55.304744,"Al Karama, Dubai, DU, United Arab Emirates",,Who's On First
973,DXB,PHARMACY,ASTER PHARMACY 150 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI,"SHOP NO: 6, PINNACLE TOWER, MARINA, MARSA, DUBAI",04-3794306,25.29829995,55.3667354736556,"Sahara Tower 6-B, Al Nahda Street, Al Nahda, Sharjah, SH, United Arab Emirates",,© OpenStreetMap contributors
974,DXB,PHARMACY,ASTER PHARMACY 123 (BR OF ASTER PHARMACIES GROUP LLC),DEIRA,"SHOP NO3, AL GHURAIR REAL ESTATE BUILDING, AL MUTEENA STREET, DEIRA, NEAR DUBAI PALM HOTEL",04-2731282,25.2732362,55.3193472,"Nibras Al Muteena, Al Muteena Street, Al Muteena, Deira, United Arab Emirates",,© OpenStreetMap contributors
975,DXB,PHARMACY,ASTER PHARMACY 201 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI,"SHOP NO3, AL MANAL TOWER, NEXT TO CROWN PLAZA HOTEL, SHEIKH ZAYED ROAD",04-3209481,25.167681,55.237109,"Sheikh Zayed Road, Al Safa 1, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
976,DXB,PHARMACY,SARA PHARMACY LLC,KARAMA,"SPINNEYS, KARAMA",04-3593330,24.4732345,54.377104,"Spinneys, Tawi Shouf Street, Al Nahyan, Abu Dhabi, AZ, United Arab Emirates",,© OpenStreetMap contributors
977,DXB,PHARMACY,AL FARDOOS PHARMACY (BR OF AL SHAFAR PHARMACIES GROUP LLC),INTERNATIONAL CITY,"SUPREME RESIDENCY, INTERNATIONAL CITY",04-4410590,25.1660979,55.4062578,"CBD-5 Supreme Residency, International City 1 Street, Warsan, Dubai, Central District, United Arab Emirates",,© OpenStreetMap contributors
978,DXB,PHARMACY,ASTER PHARMACY 143(BR OF ASTER PHARMACIES GROUP LLC),MOTOR CITY,"THE RIBBON BUILDING 2, AL HEBIAH FIRST , PLOT 94- 0, MOTOR CITY",04-4430474,25.006162,55.250476,"2 Al Thamam, Remraam, Dubai, DU, United Arab Emirates",0.139172727272727,© OpenStreetMap contributors
979,DXB,PHARMACY,MEDICOM PHARMACY 4 (TOWN PHARMACY),JUMEIRAH,"TOWN CENTRE, JUMEIRA BEACH ROAD, DUBAI",04-3440077,25.1460834,55.1956094,"Beach Walk Boutique Hotel, Al Thanya Street, Umm Suqeim 3, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
980,DXB,PHARMACY,MEDICOM PHARMACY 1 (AL JAMEYA PHARMACY),AL TWAR 1,"UNION COOPERATIVE SOCIETY, AL TWAR 1, DUBAI",04-2633677,25.112654,55.193111,"1 Al Barsha, Al Barsha 1, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
981,DXB,PHARMACY,AL AWEER SOCIETY PHARMACY (BR OF AL SHAFAR PHARMACIES GROUP LLC),AWEER,"UNION COP, NEAR FRUIT & VEG MARKET",04-3201900,,,,,
982,DXB,PHARMACY,UPTOWN PHARMACY (AL SHAFAR GROUP OF PHARMACIES),AL MANARA,"J3 MALL, 1ST FLOOR, AL WASL ROAD, AL MANARA, DUBAI, UAE",04-3392762,25.1502301,55.2129463,"Clinical Psychologist Mohammad Fraij, 935 Al Wasl Road, Al Manara, Dubai, DU, United Arab Emirates",0.00643776824034335,© OpenStreetMap contributors
983,DXB,PHARMACY,AL DORRA PHARMACY (BR OF ASTER AL SHAFAR PHARMACIES GROUP LLC),JUMEIRAH,"VILLA 351, BEACH PARK,NEAR MEDCARE CHILD CLINIC, JUMEIRA",04-3478481,24.49580525,54.3579898172126,"Corniche Beach Park, Al Danah, Abu Dhabi, United Arab Emirates",,© OpenStreetMap contributors
984,DXB,PHARMACY,MEDSHOP GARDENS PHARMACY,GARDENS,"ZEN CLUSTER, DISCOVERY GARDENS",04-4329596,25.03827,55.14578,"Discovery Gardens, DU, United Arab Emirates",,GeoNames
985,DXB,PHARMACY,ASTER PHARMACY 155 (BR OF ASTER PHARMACIES GROUP LLC),AL RIGGA,"GROUND FLOOR, BUSINESS CENTRE, IBIS HOTEL, AL RIGGA, DEIRA, DUBAI",04-2280204,25.1036284,55.3856805,"Business Centre, Courtyard A-B, Academic City, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
986,DXB,PHARMACY,ASTER PHARMACY 156 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI,"SHOP NO. 6, SAPPHIRE MALL, DUBAI INDUSTRIAL CITY, NEAR TO AL MAKTOUM INTERNATIONAL AIRPORT, DUBAI",N/A,,,,,
987,DXB,PHARMACY,NICE LIFE PHARMACY (BR OF ASTER PHARMACIES GROUP LLC),JUMEIRAH,"GROUND FLOOR, SHOP NO: AG 12, AL HUDAIBA AWARDS BUILDING, BLOCK A, 2ND DECEMBER INTERCHANGE, JUMEIRA",04-3092900,25.0292919,55.1068712,"Starbucks, Ground Floor Abraj Al Mina Street, Jabal Ali, Jebel Ali, DU, United Arab Emirates",0.1701,© OpenStreetMap contributors
988,DXB,PHARMACY,ASTER MEDICAL CENTER PHARMACY AL MUHAISNA BR OF DM HEALTHCARE LLC,MUHAISNAH,"SHOP NO1, ZARAA RESIDENCE 1, MUHAISNAH 4, LULU VILLAGE, BEHIND ST.MARY'S CATHOLIC HIGH SCHOOL, DUBAI",04-5479070,25.2843626,55.4071556,"Al Muhaisnah 4 Ambulance Service, Amman Street, Muhaisnah, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
989,DXB,PHARMACY,ASTER PHARMACY 206 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI FOUNTAIN,"SHAIKH MOHAMMED BIN RASHID BOULEVARD,DUBAI FOUNTAIN VIEW, NEXT TO ADDRESS FOUNTAIN VIEW HOTEL. SHOP",04-5475036,25.201678,55.270965,"The Address - Sky View, Downtown Dubai, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
990,DXB,PHARMACY,ASTER PHARMACIES GROUP BRANCH EXPO 2020,EXPO CENTRE,"GF1, SUSTAINABILITY PAVILION, EXPO 2020",04-5477218,24.962625,55.144475,"1A Expo Park Drive, Expo 2020 Dubai, DU, United Arab Emirates",0.7695,© OpenStreetMap contributors
991,DXB,PHARMACY,ASTER HOSPITAL PHARMACY SONAPUR,MUHAISNAH,"ALGERIA STREET, MUHAISNAH, SONAPUR",04-4400500,25.241799,55.411549,"Street 12b, Muhaisnah, Dubai, DU, United Arab Emirates",,© OpenStreetMap contributors
992,DXB,PHARMACY,ASTER PHARMACY 165 (BR OF ASTER PHARMACIES GROUP LLC,DUBAI HILLS,"SWAY RESIDENCES, SHOP NO:RETAIL-3,HADAEQ SHEIKH MOHAMMED BIN RASHID, DUBAI HILLS",04-7187190,25.12590555,55.1543148632282,"Muraba Residences, Crescent Road, Palm Jumeirah, Dubai, United Arab Emirates",,© OpenStreetMap contributors
993,DXB,PHARMACY,ASTER PHARMACY 162 (BR OF ASTER PHARMACIES GROUP LLC),JUMEIRAH VILLAGE CIRCLE,"SHOP NO:6, MASJID BUILDING, DISTRICT 10, JUMEIRAH VILLAGE CIRCLE, NEXT TO SALEH MOHAMMED BIN LAHEJ MASJID",04-4580678,25.0474552,55.2091352,"Spinneys Jumeirah Village Circle, District 13F Bijada Boulevard South, Jumeirah Village Circle, Dubai, DU, United Arab Emirates",0.3375,© OpenStreetMap contributors
994,DXB,PHARMACY,ASTER PHARMACY 167 (BR OF ASTER PHARMACIES GROUP LLC),THE DUBAI MALL,"SHOP NO-041, SECOND FLOOR, METROLINK BAY, THE DUBAI MALL, SHEIKH MOHAMMED BIN RASHED BOULEVARD,DOWNTOWN, DUBAI",04-3341829,25.194481,55.275589,"Downtown Dubai, Dubai, DU, United Arab Emirates",,Who's On First
995,DXB,PHARMACY,ASTER PHARMACY 170 (BR OF ASTER PHARMACIES GROUP LLC),AL MERKADH,"SHOP# 6,GROUND FLOOR, BUILDING 1, PHASE 2, SHOBHA HEARTLAND, AL MERKADH, GREENS, DUBAI",04-2588717,25.1766901,55.310762853424,"迪拜房产德世迦 Fast Way Real Estate Broker, Shop-1 Roundabout 3, MBR- Al Merkad, Dubai, Meydan, United Arab Emirates",,© OpenStreetMap contributors
996,DXB,PHARMACY,ASTER PHARMACY 173 (BR OF ASTER PHARMACIES GROUP LLC),AL SAFA,"SHOP 9, BUILDING NO: 2259186831, UNION COOPERATIVE SOCIETY, AL SAFA, JUMEIRAH THIRD, DUBAI, UAE",04-3325595,25.1834912,55.2381266,"The Grey, 1 Al Wasl Road, Al Safa, Dubai, DU, United Arab Emirates",0.7,© OpenStreetMap contributors
997,DXB,PHARMACY,ASTER PHARMACY (DUBAL BRANCH),DUBAL CLINIC,"DUBAI ALUMINIUM COMPANY, DUBAL, NEAR TO DUBAL CLINIC",04-8022684,,,,,
998,DXB,PHARMACY,ZABEEL PHARMACY LLC,BUSSINESS BAY,"BLUE BAY TOWER, BUSINESS BAY",04-5897129,25.18763315,55.2707482974858,"Blue Bay Tower, Marasi Drive, Downtown Dubai, Business Bay, United Arab Emirates",,© OpenStreetMap contributors
999,DXB,PHARMACY,ASTER PHARMACY 104 (BR OF ASTER PHARMACIES GROUP LLC),AL WARQA 1,"SHOP NO.1, HANBAL SHAFIE AL MADANI BUILDING, AL WARQA-1, NEAR TO ASTER ORTHO CLINIC, AL WARQA",04-2829440,24.2039973,55.7621047,"du Shop, Al Mawsou'ah 1 Street, Industrial Area, AZ, United Arab Emirates",,© OpenStreetMap contributors
1000,DXB,PHARMACY,ASTER PHARMACY 160 (BR OF ASTER PHARMACIES GROUP LLC),JABAL ALI,"UNIT NO:M11, JABAL ALI SHOPPING CENTER, NEAR TO RAMLA MARKET, 86 STREET, DUBAI INVESTMENTS PARK 1, DIP",04-8847176,24.983291731235,55.1588625115044,"1 86 Street, Dubai Investment Park 1, Dubai, United Arab Emirates",0,© OpenStreetMap contributors
1001,DXB,PHARMACY,ASTER PHARMACY 164 (BR OF ASTER PHARMACIES GROUP LLC),DUBAI LAND,"SHOP NO.R-7B, TOWER-D, SKY COURTS , DUBAI AL AIN ROAD, DUBAI LAND, DUBAI",04-3208941,25.26038,55.29891,"Bur Dubai, DU, United Arab Emirates",,GeoNames
1002,DXB,PHARMACY,ASTER PHARMACY 161 (BR OF ASTER PHARMACIES GROUP LLC),RAS AL KHOR,"MN36500 86125, MARHABA MALL, SAMARI RESIDENCE, RAS AL KHOR ROAD, AWEER, DUBAI",04-3424262,25.26038,55.29891,"Bur Dubai, DU, United Arab Emirates",,GeoNames
1003,DXB,PHARMACY,ASTER PHARMACY 168 (BR OF ASTER PHARMACIES GROUP LLC),IBN BATTUTA MALL,"IBS GF 35&36, NEAR CARREFOUR PARKING ENTRANCE, TUNISIA COURT, IBN BATTUTA MALL,IBN BATTUTA MALL, JABAL ALI FIRST, JABAL ALI",04-5543519,24.496311,54.381974,"35 Abu Dhabi Mall Parking Entrance, Al Zahiyah, Abu Dhabi, AZ, United Arab Emirates",0,© OpenStreetMap contributors
1004,DXB,PHARMACY,ASTER PHARMACY 169 ( BR OF ASTER PHARMACIES GROUP LLC),AL WASL ROAD,"19A STREET, NEXT TO HEALTHBAY WOMENSCARE , AL WASL ROAD, UMM AL SHEIF , DUBAI",04-3250365,25.080209,55.283596,"Dubai, DU, United Arab Emirates",,Who's On First
1005,DXB,PHARMACY,ASTER PHARMACY 172 (BR OF ASTER PHARMACIES GROUP LLC),ARJAN,"SHOP:12, AL SAYYAH RESIDENCE C, ARJAN DUBAILAND, AL BARSHA SOUTH 2, ARJAN, DUBAI, UAE",04-5786364,25.0584,55.20885,"Al Barsha South Fourth, DU, United Arab Emirates",,GeoNames
1006,DXB,PHARMACY,ASTER PHARMACY 175 (BR OF ASTER PHARMACIES GROUP LLC),JVC,"SHOP:11A, DAMAC TOWER 108, AL BARSHA SOUTH, JUMEIRAH VILLAGE CIRCLE, NEAR TO ASTER CLINIC JVC, DUBAI",04-5579564,,,,,
1007,DXB,PHARMACY,ASTER PHARMACIES GROUP LLC (DMCC BRANCH),JUMEIRAH LAKES TOWERS,"UNIT NO: G-1, ARMADA TOWERS 3, PLOT NO: JLT-PH2-P3A, AL THANYAH FIFTH, JUMEIRAH LAKES TOWERS",04-3092900,24.4588614,54.3217995446846,"Etihad Towers, Building 3, King Abdullah Bin Abdulaziz Al Saud Street, Al Bateen, Abu Dhabi, AZ, United Arab Emirates",,© OpenStreetMap contributors
1008,DXB,PHARMACY,DRAGON PHARMACY (BR OF ASTER AL SHAFAR PHARMACIES GROUP LLC),AL FURJAN,"SHOP NO 9, AZIZI FARISHTA, JABAL ALI FIRST, AL FURJAN, DUBAI",04-5693614,25.1802317,55.2354936,"Adventure Parx & Cafe, Shop #9 Al Wasl Road, Al Safa, Dubai, Al Safa 1, United Arab Emirates",0.0659340659340659,© OpenStreetMap contributors
