name,city,description,employees,url
Jts Medical Centre,Dubai,Jts Medical Centre employs 64 UAE-licensed (Dubai) healthcare professionals in Dubai.,64,https://www.zavis.ai/professionals/facility/jts-medical-centre
Jumeirah American Clinic,Dubai,Jumeirah American Clinic employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/jumeirah-american-clinic
Jupiter Al Nahda Polyclinic,Dubai,Jupiter Al Nahda Polyclinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/jupiter-al-nahda-polyclinic
Jupiter Specialty Medical Center,Dubai,Jupiter Specialty Medical Center employs 50 UAE-licensed (Dubai) healthcare professionals in Dubai.,50,https://www.zavis.ai/professionals/facility/jupiter-specialty-medical-center
Karama Medical Center,Dubai,Karama Medical Center employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/karama-medical-center
Kaya Skin Care Clinic,Dubai,Kaya Skin Care Clinic employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/kaya-skin-care-clinic
Kims Medical Centre,Dubai,Kims Medical Centre employs 40 UAE-licensed (Dubai) healthcare professionals in Dubai.,40,https://www.zavis.ai/professionals/facility/kims-medical-centre
"Kings College Hospital London, Medical Centre",Dubai,"Kings College Hospital London, Medical Centre employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.",32,https://www.zavis.ai/professionals/facility/kings-college-hospital-london-medical-centrekch-health-care
Kings College Hospital London Medical Centre,Dubai,Kings College Hospital London Medical Centre employs 51 UAE-licensed (Dubai) healthcare professionals in Dubai.,51,https://www.zavis.ai/professionals/facility/kings-college-hospital-london-medical-centrekch-healthcare
Kings College Hospital London Pharmacy,Dubai,Kings College Hospital London Pharmacy employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/kings-college-hospital-london-pharmacykch-healthcare
Kings College Hospital London,Dubai,Kings College Hospital London employs 838 UAE-licensed (Dubai) healthcare professionals in Dubai.,838,https://www.zavis.ai/professionals/facility/kings-college-hospital-londonkch-healthcare
Kings Dental Center,Dubai,Kings Dental Center employs 39 UAE-licensed (Dubai) healthcare professionals in Dubai.,39,https://www.zavis.ai/professionals/facility/kings-dental-center
La vida clinic,Dubai,La vida clinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/la-vida-clinic
Lamera Touch Medical Center,Dubai,Lamera Touch Medical Center employs 34 UAE-licensed (Dubai) healthcare professionals in Dubai.,34,https://www.zavis.ai/professionals/facility/lamera-touch-medical-center
Lana Dental Laboratory,Dubai,Lana Dental Laboratory employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/lana-dental-laboratory
Laser Medical Center,Dubai,Laser Medical Center employs 34 UAE-licensed (Dubai) healthcare professionals in Dubai.,34,https://www.zavis.ai/professionals/facility/laser-medical-center
Latifa Hospital - Dubai Health,Dubai,Latifa Hospital - Dubai Health employs 874 UAE-licensed (Dubai) healthcare professionals in Dubai.,874,https://www.zavis.ai/professionals/facility/latifa-hospital-dh
Lenskart Optical Trading,Dubai,Lenskart Optical Trading employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/lenskart-optical-trading
Liberty Dental Clinic,Dubai,Liberty Dental Clinic employs 47 UAE-licensed (Dubai) healthcare professionals in Dubai.,47,https://www.zavis.ai/professionals/facility/liberty-dental-clinic
Life Clinic 2,Dubai,Life Clinic 2 employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/life-clinic-2life-clinic
Life Medical Center,Dubai,Life Medical Center employs 38 UAE-licensed (Dubai) healthcare professionals in Dubai.,38,https://www.zavis.ai/professionals/facility/life-medical-center
Lifenity Genomic Laboratory,Dubai,Lifenity Genomic Laboratory employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/lifenity-genomic-laboratory-dmcc
Lotus Medical Center,Dubai,Lotus Medical Center employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/lotus-medical-center
Lucia Aesthetic And Dermatology Center,Dubai,Lucia Aesthetic And Dermatology Center employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/lucia-aesthetic-and-dermatology-center
Magenta Home Health Services,Dubai,Magenta Home Health Services employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/magenta-home-health-services
Magrabi Eye Hospital - Outpatient Surgery Center,Dubai,Magrabi Eye Hospital - Outpatient Surgery Center employs 50 UAE-licensed (Dubai) healthcare professionals in Dubai.,50,https://www.zavis.ai/professionals/facility/magrabi-eye-hospital-outpatient-surgery-center
Maisan Medical Clinic,Dubai,Maisan Medical Clinic employs 40 UAE-licensed (Dubai) healthcare professionals in Dubai.,40,https://www.zavis.ai/professionals/facility/maisan-medical-clinic
Mamlakat Aljamal,Dubai,Mamlakat Aljamal employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/mamlakat-aljamalbe-you-plus
Manila Polyclinic,Dubai,Manila Polyclinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/manila-polyclinic
Manzil Home Health Services,Dubai,Manzil Home Health Services employs 38 UAE-licensed (Dubai) healthcare professionals in Dubai.,38,https://www.zavis.ai/professionals/facility/manzil-home-health-services
Marina Dental Center,Dubai,Marina Dental Center employs 39 UAE-licensed (Dubai) healthcare professionals in Dubai.,39,https://www.zavis.ai/professionals/facility/marina-dental-center-br
Matar Medical Center,Dubai,Matar Medical Center employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/matar-medical-center
Me One Medical Center,Dubai,Me One Medical Center employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/me-one-medical-center
Med X Pharmacy,Dubai,Med X Pharmacy employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/med-x-pharmacy
Medcare Eye Centre,Dubai,Medcare Eye Centre employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/medcare-eye-centremedcare-hospital
Medcare Hospital,Dubai,Medcare Hospital employs 315 UAE-licensed (Dubai) healthcare professionals in Dubai.,315,https://www.zavis.ai/professionals/facility/medcare-hospital
Medcare Medical Center,Dubai,Medcare Medical Center employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/medcare-medical-center
Medcare Medical Center Discovery Gardens,Dubai,Medcare Medical Center Discovery Gardens employs 35 UAE-licensed (Dubai) healthcare professionals in Dubai.,35,https://www.zavis.ai/professionals/facility/medcare-medical-center-discovery-gardensmedcare-hospital
Medcare Medical Center Jbr - Br- Medcare Hospital,Dubai,Medcare Medical Center Jbr - Br- Medcare Hospital employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/medcare-medical-center-jbr-br-medcare-hospital
Medcare Medical Center Mirdif,Dubai,Medcare Medical Center Mirdif employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/medcare-medical-center-mirdif-br
Medcare Medical Centre Al Barsha,Dubai,Medcare Medical Centre Al Barsha employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/medcare-medical-centre-al-barshamedcare-hos
Medcare Medical Centre Al Khawaneej,Dubai,Medcare Medical Centre Al Khawaneej employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/medcare-medical-centre-al-khawaneejmedcare-hospital
Medcare Medical Centre Jumeirah,Dubai,Medcare Medical Centre Jumeirah employs 51 UAE-licensed (Dubai) healthcare professionals in Dubai.,51,https://www.zavis.ai/professionals/facility/medcare-medical-centre-jumeirahmedcare-hosp
Medcare Medical Centre Marina,Dubai,Medcare Medical Centre Marina employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/medcare-medical-centre-marinamedcare-hospital
Medcare Medical Centre Motorcity,Dubai,Medcare Medical Centre Motorcity employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/medcare-medical-centre-motorcitymedcare-hos
Medcare Orthopaedics And Spine Hospital,Dubai,Medcare Orthopaedics And Spine Hospital employs 129 UAE-licensed (Dubai) healthcare professionals in Dubai.,129,https://www.zavis.ai/professionals/facility/medcare-orthopaedics-and-spine-hospital
Medcare Physiotherapy And Rehabilitation Centre,Dubai,Medcare Physiotherapy And Rehabilitation Centre employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/medcare-physiotherapy-and-rehabilitation-centre
Medcare Royal Speciality Hospital,Dubai,Medcare Royal Speciality Hospital employs 373 UAE-licensed (Dubai) healthcare professionals in Dubai.,373,https://www.zavis.ai/professionals/facility/medcare-royal-speciality-hospital-medcare-hospital
Medcare Women And Child Hospital,Dubai,Medcare Women And Child Hospital employs 317 UAE-licensed (Dubai) healthcare professionals in Dubai.,317,https://www.zavis.ai/professionals/facility/medcare-women-and-child-hospitalmedcare-hospital
Medeor 24X7 Hospital,Dubai,Medeor 24X7 Hospital employs 334 UAE-licensed (Dubai) healthcare professionals in Dubai.,334,https://www.zavis.ai/professionals/facility/medeor-24x7-hospital
Medi Centres Polyclinic,Dubai,Medi Centres Polyclinic employs 48 UAE-licensed (Dubai) healthcare professionals in Dubai.,48,https://www.zavis.ai/professionals/facility/medi-centres-polyclinic
Medi Sense Clinic,Dubai,Medi Sense Clinic employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/medi-sense-clinic
Medical Innoventures,Dubai,Medical Innoventures employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/medical-innoventures-dmcc
Medical Specialists Center,Dubai,Medical Specialists Center employs 48 UAE-licensed (Dubai) healthcare professionals in Dubai.,48,https://www.zavis.ai/professionals/facility/medical-specialists-center
Medical Village,Dubai,Medical Village employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/medical-village
Medicina Pharmacy,Dubai,Medicina Pharmacy employs 144 UAE-licensed (Dubai) healthcare professionals in Dubai.,144,https://www.zavis.ai/professionals/facility/medicina-pharmacy
Mediclinic Al Sufouh,Dubai,Mediclinic Al Sufouh employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/mediclinic-al-sufouh
Mediclinic Al Tawar Dialysis Centre,Dubai,Mediclinic Al Tawar Dialysis Centre employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/mediclinic-al-tawar-dialysis-centremediclinic-clinics-investment
Mediclinic Arabian Ranches Clinic,Dubai,Mediclinic Arabian Ranches Clinic employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/mediclinic-arabian-ranches-clinic
Mediclinic City Hospital,Dubai,Mediclinic City Hospital employs 929 UAE-licensed (Dubai) healthcare professionals in Dubai.,929,https://www.zavis.ai/professionals/facility/mediclinic-city-hospital
Mediclinic City Hospital FZ-LLC_Pharmacy,Dubai,Mediclinic City Hospital FZ-LLC_Pharmacy employs 39 UAE-licensed (Dubai) healthcare professionals in Dubai.,39,https://www.zavis.ai/professionals/facility/mediclinic-city-hospitalpharmacy
Mediclinic Creek Harbour,Dubai,Mediclinic Creek Harbour employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/mediclinic-creek-harbour-mediclinic-clinics-investment
Mediclinic Deira Clinic,Dubai,Mediclinic Deira Clinic employs 36 UAE-licensed (Dubai) healthcare professionals in Dubai.,36,https://www.zavis.ai/professionals/facility/mediclinic-deira-clinicmediclinic-clinics-investment
Mediclinic Dubai Hills,Dubai,Mediclinic Dubai Hills employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/mediclinic-dubai-hills
Mediclinic Dubai Mall Medical Centre Br Mediclinic Clinics,Dubai,Mediclinic Dubai Mall Medical Centre Br Mediclinic Clinics employs 193 UAE-licensed (Dubai) healthcare professionals in Dubai.,193,https://www.zavis.ai/professionals/facility/mediclinic-dubai-mall-medical-centre-br-mediclinic-clinics
Mediclinic Ibn Battuta Clinic,Dubai,Mediclinic Ibn Battuta Clinic employs 42 UAE-licensed (Dubai) healthcare professionals in Dubai.,42,https://www.zavis.ai/professionals/facility/mediclinic-ibn-battuta-clinic
Mediclinic Meadows Clinic,Dubai,Mediclinic Meadows Clinic employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/mediclinic-meadows-clinic
Mediclinic Meaisem,Dubai,Mediclinic Meaisem employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/mediclinic-meaisem
Mediclinic Mirdif Clinic,Dubai,Mediclinic Mirdif Clinic employs 40 UAE-licensed (Dubai) healthcare professionals in Dubai.,40,https://www.zavis.ai/professionals/facility/mediclinic-mirdif-clinic
Mediclinic Parkview Hospital,Dubai,"Mediclinic Parkview Hospital employs 1,012 UAE-licensed (Dubai) healthcare professionals in Dubai.",1012,https://www.zavis.ai/professionals/facility/mediclinic-parkview-hospital
Mediclinic Parkview Hospital Llc Pharmacy,Dubai,Mediclinic Parkview Hospital Llc Pharmacy employs 38 UAE-licensed (Dubai) healthcare professionals in Dubai.,38,https://www.zavis.ai/professionals/facility/mediclinic-parkview-hospitalpharmacy
Mediclinic Welcare Hospital,Dubai,Mediclinic Welcare Hospital employs 409 UAE-licensed (Dubai) healthcare professionals in Dubai.,409,https://www.zavis.ai/professionals/facility/mediclinic-welcare-hospital
Mediclinic Welcare Hospital Pharmacy,Dubai,Mediclinic Welcare Hospital Pharmacy employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/mediclinic-welcare-hospital-pharmacy
Medicure Poly Clinic,Dubai,Medicure Poly Clinic employs 45 UAE-licensed (Dubai) healthcare professionals in Dubai.,45,https://www.zavis.ai/professionals/facility/medicure-poly-clinic
Medinova Diagnostic Center(24 Hours),Dubai,Medinova Diagnostic Center(24 Hours) employs 48 UAE-licensed (Dubai) healthcare professionals in Dubai.,48,https://www.zavis.ai/professionals/facility/medinova-diagnostic-center24-hours
Medsol Al Abbar Laboratories For Research And Medical Analys,Dubai,Medsol Al Abbar Laboratories For Research And Medical Analys employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/medsol-al-abbar-laboratories-for-research-and-medical-analys
Medstar Healthcare,Dubai,Medstar Healthcare employs 55 UAE-licensed (Dubai) healthcare professionals in Dubai.,55,https://www.zavis.ai/professionals/facility/medstar-healthcare
Micris Dental Clinic,Dubai,Micris Dental Clinic employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/micris-dental-clinic
Milena Aesthetic Clinic,Dubai,Milena Aesthetic Clinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/milena-aesthetic-clinic
Mirdif Private Hospital,Dubai,Mirdif Private Hospital employs 463 UAE-licensed (Dubai) healthcare professionals in Dubai.,463,https://www.zavis.ai/professionals/facility/mirdif-private-hospital
Modern Family Clinic,Dubai,Modern Family Clinic employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/modern-family-clinic
Molodost and Smile No Pain Polyclinic,Dubai,Molodost and Smile No Pain Polyclinic employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/molodost-and-smile-no-pain-polyclinic
Montreal Home Health Care,Dubai,Montreal Home Health Care employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/montreal-home-health-care
Moorfields Eye Hospital Dubai,Dubai,Moorfields Eye Hospital Dubai employs 71 UAE-licensed (Dubai) healthcare professionals in Dubai.,71,https://www.zavis.ai/professionals/facility/moorfields-eye-hospital-dubai
Mubadala Health Medical and Surgical,Dubai,Mubadala Health Medical and Surgical employs 120 UAE-licensed (Dubai) healthcare professionals in Dubai.,120,https://www.zavis.ai/professionals/facility/mubadala-health-medical-and-surgical
Muhaisnah Monitoring Medical Center – Dubai Health,Dubai,Muhaisnah Monitoring Medical Center – Dubai Health employs 192 UAE-licensed (Dubai) healthcare professionals in Dubai.,192,https://www.zavis.ai/professionals/facility/muhaisnah-monitoring-medical-center-dubai-health
Multi Care Medical Centre,Dubai,Multi Care Medical Centre employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/multi-care-medical-centre
My London Skin Clinic,Dubai,My London Skin Clinic employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/my-london-skin-clinic
N M C Royal Hospital Ltd - Dubai,Dubai,N M C Royal Hospital Ltd - Dubai employs 642 UAE-licensed (Dubai) healthcare professionals in Dubai.,642,https://www.zavis.ai/professionals/facility/n-m-c-royal-hospital-dubai
Nadd Al Hammar Medical Center - PHC,Dubai,Nadd Al Hammar Medical Center - PHC employs 228 UAE-licensed (Dubai) healthcare professionals in Dubai.,228,https://www.zavis.ai/professionals/facility/nadd-al-hammar-medical-center-phc
Nadd Al Sheba Medical Center - PHC,Dubai,Nadd Al Sheba Medical Center - PHC employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/nadd-al-sheba-medical-center-phc
Nahdi pharmacy,Dubai,Nahdi pharmacy employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/nahdi-pharmacy
National Reference Laboratory,Dubai,National Reference Laboratory employs 44 UAE-licensed (Dubai) healthcare professionals in Dubai.,44,https://www.zavis.ai/professionals/facility/national-reference-laboratory
Nephro Arabia Healthcare,Dubai,Nephro Arabia Healthcare employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/nephro-arabia-healthcare
Neuropedia Childrens Neuroscience Center,Dubai,Neuropedia Childrens Neuroscience Center employs 39 UAE-licensed (Dubai) healthcare professionals in Dubai.,39,https://www.zavis.ai/professionals/facility/neuropedia-childrens-neuroscience-center
New Apollo Polyclinic,Dubai,New Apollo Polyclinic employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/new-apollo-polyclinic-l-l-c
New Line Home Health Care Center,Dubai,New Line Home Health Care Center employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/new-line-home-health-care-center
New Medical Center Ltd - Dubai,Dubai,New Medical Center Ltd - Dubai employs 95 UAE-licensed (Dubai) healthcare professionals in Dubai.,95,https://www.zavis.ai/professionals/facility/new-medical-center-dubai
New Sanaiya Clinic,Dubai,New Sanaiya Clinic employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/new-sanaiya-clinic
New west Home Health Care Center,Dubai,New west Home Health Care Center employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/new-west-home-health-care-center
Nhs Medical Center,Dubai,Nhs Medical Center employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/nhs-medical-center
Nmc Royal Hospital Pharmacy,Dubai,Nmc Royal Hospital Pharmacy employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/nmc-royal-hospital-pharmacy
NMC Royal Medical Centre,Dubai,NMC Royal Medical Centre employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/nmc-royal-medical-centrenmc-royal-hospitaldubai
NMC Specialty Hospital Dip,Dubai,NMC Specialty Hospital Dip employs 104 UAE-licensed (Dubai) healthcare professionals in Dubai.,104,https://www.zavis.ai/professionals/facility/nmc-specialty-hospital-dipnmc-royal-hospitaldubai
N.M.C Specialty Hospital Ltd - Dubai,Dubai,N.M.C Specialty Hospital Ltd - Dubai employs 769 UAE-licensed (Dubai) healthcare professionals in Dubai.,769,https://www.zavis.ai/professionals/facility/nmc-specialty-hospital-dubai
Nmc Specialty Hospital Pharmacy,Dubai,Nmc Specialty Hospital Pharmacy employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/nmc-specialty-hospital-pharmacy
Noor Al Sama Medical Center,Dubai,Noor Al Sama Medical Center employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/noor-al-sama-medical-center
Noor Almamzar Medical Centre,Dubai,Noor Almamzar Medical Centre employs 171 UAE-licensed (Dubai) healthcare professionals in Dubai.,171,https://www.zavis.ai/professionals/facility/noor-almamzar-medical-centre
Northwest Clinic Day Surgical,Dubai,Northwest Clinic Day Surgical employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/northwest-clinic-day-surgical
Nova Plastic Surgery Clinic,Dubai,Nova Plastic Surgery Clinic employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/nova-plastic-surgery-clinic
Novitas Clinic,Dubai,Novitas Clinic employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/novitas-clinic
Novomed Centers,Dubai,Novomed Centers employs 94 UAE-licensed (Dubai) healthcare professionals in Dubai.,94,https://www.zavis.ai/professionals/facility/novomed-centers
Novomed Specialized Surgical Hospital,Dubai,Novomed Specialized Surgical Hospital employs 56 UAE-licensed (Dubai) healthcare professionals in Dubai.,56,https://www.zavis.ai/professionals/facility/novomed-specialized-surgical-hospital
Nurseco Home Health Care,Dubai,Nurseco Home Health Care employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/nurseco-home-health-care
omega Home Health Care Center,Dubai,omega Home Health Care Center employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/omega-home-health-care-center
One Call Doctor Home Health Care Center,Dubai,One Call Doctor Home Health Care Center employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/one-call-doctor-home-health-care-center
Open Minds Psychiatry Counselling and Neuroscience Centre,Dubai,Open Minds Psychiatry Counselling and Neuroscience Centre employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/open-minds-psychiatry-counselling-and-neuroscience-centre-ll-c
Oral Implantology Medical Center,Dubai,Oral Implantology Medical Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/oral-implantology-medical-center
Orchid Reproductive and Andrology Services FZ-LLC_2,Dubai,Orchid Reproductive and Andrology Services FZ-LLC_2 employs 34 UAE-licensed (Dubai) healthcare professionals in Dubai.,34,https://www.zavis.ai/professionals/facility/orchid-reproductive-and-andrology-services2
Orthocure Medical Center,Dubai,Orthocure Medical Center employs 39 UAE-licensed (Dubai) healthcare professionals in Dubai.,39,https://www.zavis.ai/professionals/facility/orthocure-medical-center
Orthosports Medical Center,Dubai,Orthosports Medical Center employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/orthosports-medical-center
Oval Dental Clinic,Dubai,Oval Dental Clinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/oval-dental-clinic
Padra Medical Centre,Dubai,Padra Medical Centre employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/padra-medical-centre-l-l-c
Pakistan Medical Center,Dubai,Pakistan Medical Center employs 56 UAE-licensed (Dubai) healthcare professionals in Dubai.,56,https://www.zavis.ai/professionals/facility/pakistan-medical-center
Paradise Polyclinic,Dubai,Paradise Polyclinic employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/paradise-polyclinic
Park Avenue Dental Clinic,Dubai,Park Avenue Dental Clinic employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/park-avenue-dental-clinic
Ph Diagnostics,Dubai,Ph Diagnostics employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/ph-diagnostics
Physio World Home Healthcare,Dubai,Physio World Home Healthcare employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/physio-world-home-healthcare
Polar Bear General Dental Clinic,Dubai,Polar Bear General Dental Clinic employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/polar-bear-general-dental-clinic
Premier Diagnostic Center,Dubai,Premier Diagnostic Center employs 65 UAE-licensed (Dubai) healthcare professionals in Dubai.,65,https://www.zavis.ai/professionals/facility/premier-diagnostic-center
Prestige Smile Clinic,Dubai,Prestige Smile Clinic employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/prestige-smile-clinic
Prestige Star Home Health Care,Dubai,Prestige Star Home Health Care employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/prestige-star-home-health-care
Prime Home Care,Dubai,Prime Home Care employs 90 UAE-licensed (Dubai) healthcare professionals in Dubai.,90,https://www.zavis.ai/professionals/facility/prime-home-care
Prime Hospital,Dubai,Prime Hospital employs 526 UAE-licensed (Dubai) healthcare professionals in Dubai.,526,https://www.zavis.ai/professionals/facility/prime-hospital
Prime Medical Center,Dubai,Prime Medical Center employs 122 UAE-licensed (Dubai) healthcare professionals in Dubai.,122,https://www.zavis.ai/professionals/facility/prime-medical-center
Prime Medical Center Al Warqa,Dubai,Prime Medical Center Al Warqa employs 61 UAE-licensed (Dubai) healthcare professionals in Dubai.,61,https://www.zavis.ai/professionals/facility/prime-medical-center-al-warqa-prime-medical-center
Prime Medical Center Barsha Heights,Dubai,Prime Medical Center Barsha Heights employs 71 UAE-licensed (Dubai) healthcare professionals in Dubai.,71,https://www.zavis.ai/professionals/facility/prime-medical-center-barsha-heightsl-l-c
Prime Medical Center Bur Dubai,Dubai,Prime Medical Center Bur Dubai employs 96 UAE-licensed (Dubai) healthcare professionals in Dubai.,96,https://www.zavis.ai/professionals/facility/prime-medical-center-bur-dubai-l-l-c
Prime Medical Center Jumeirah,Dubai,Prime Medical Center Jumeirah employs 62 UAE-licensed (Dubai) healthcare professionals in Dubai.,62,https://www.zavis.ai/professionals/facility/prime-medical-center-jumeirah-l-l-c
Prime Medical Center,Dubai,Prime Medical Center employs 111 UAE-licensed (Dubai) healthcare professionals in Dubai.,111,https://www.zavis.ai/professionals/facility/prime-medical-center-l-l-c
