SL_NO,PROVIDER_NAME,EMIRATE,PROVIDER_TYPE,INSURANCE_NETWORK,NOTES_EXCERPT
DHA-F-6717615,NEW FANS PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000261,BORDER PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-2449183,BODER PHARMACY LLC BRANCH,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-7259326,AHLANCARE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3322622,MVR PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000879,BAB AL HAYAT PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047857,MUSALAH AL QUOZE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002420,MULTICARE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-1716570,ZAHRATH AL NEEM PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0456430,AL NEEM PHARMACY LLC BRANCH,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002066,AL NEEM STAR PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3489733,NEW MEDILIFE PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047165,NOOR  AL  SATWA  PHARMACY  LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000589,NOOR AL QUSAIS PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000517,MADINAT AL QOUZ  PHARMACY  LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047047,NAHDA  AL NASEEM  PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001883,ROCK STAR PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0048000,NEW AL SUWAIDI PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002125,HAPPY  LIFE PHARMACY LLC  ,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046923,AL RASHEED  PHARMACY  LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002092,ORBIT  STAR PHARMACY  LLC ,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002296,DAR AL NOOR PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002074,MEDI PLUS PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002343,HEALTH  SIGN  PHARMACY  LLC  ,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002535,UNIQUE CARE PHARMACY LLC ,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001719,FAJER MIRDIF PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002230,LIVE CARE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0964851,LIFENITY INTERNATIONAL ADVANCED PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-6121695,OUR LIFE GUARD PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0048033,KIMS PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045995,AL RAFAH PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001025,KHALIDHA PHARMACY L.L.C.,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002451,NAJMA AL MUSALLAH PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000543,"JANSONS PHARMACY LLC,BURDUBAI",DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047536,AL RAIS PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000421,GHAZAL AL JABAL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000707,AL JASEEL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046318,MOTHER PHARMCAY L.L.C.,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047783,CARE WELL PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3552710,WELLCARE PHARMACY LLC,DXB,PHARMACY,Wellcare/AXA,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-2840922,TRUST PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001793,VITACARE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-9405797,YASMED PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046337,AJMAL PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-9671836,UNITY PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3151170,Y A Z PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-6481634,MEDSEVEN PHARMACY LTD,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046512,AL NAHDA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3697036,GREEN BELT PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001427,MED CARE PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002321,MEDONE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001261,RX PHARMACY (BR OF IMARA HEALTH CARE L.L.C)(IMARA GR),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001412,SAMARI RX PHARMACY (BR OF IMARA HEALTH CARE L.L.C)(IMARA GR),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001393,PANORAMA RX PHARMACY (BR OF IMARA HEALTH CARE L.L.C)(IMARA GR),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001995,HTK PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-5801007,HOPECARE PHARMACY  L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000454,APPLE CARE PHARMACY LLC  (FRANCE CLUSTER),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000958,APPLE CARE PHARMACY LLC BRANCH (GREECE CLUSTER),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3014690,APPLE CARE PHARMACY L. L. C BR,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-4658212,HARLEY INTERNATIONAL MEDICAL CLINIC PHARMACY BRANCH,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3758961,GSM GREENS PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002151,GRAND INFINITY PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-9024146,GRAND INFINITY PHARMACY LLC BRANCH,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002060,BAB AL NOOR PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3629595,ZAHRAT AL NOOR PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3831758,GOOD WILL PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046416,NAD AL HAMAR PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002401,FAITHWAY PHARMACY LLC (BRANCH),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002091,LOTUS PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045893,FAITH PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046515,AL TAMIMI PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047244,AL TAMIMI NEW PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000495,MURIAT PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046594,MASHREQ PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045769,ROKN AL MEZHER PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047596,QALB AL IMAN PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000195,FAITH WAY PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001346,AL SAFA AL QUOZ PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001611,GRAND MURIAT PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000111,AL FARAH PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045890,AL AHRAM PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045974,AL KHAN PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002298,AL TAMIMI NEW PHARMACY LLC BRANCH,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001554,MEDI GREEN PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047446,DAR AL NASEEM PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047753,ARDH AL NASEEM PHARMACY LLC.,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045977,AL NASEEM PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002225,MEDIGREEN PHARMACY LLC (BRANCH),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-1289492,FAITH ACACIA PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-6473276,FAITH CAP 1 PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-1779115,FAITH EUROPEAN PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-6714425,FAITH JABAL PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045930,AL WOQAYA PHARMACY -PROTECTION PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047796,EXPERTS PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-7972780,DR ABDULLAS PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047039,NEW SMILE PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046877,SMILE PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045757,WEST HILL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047897,HAFSA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000593,EAST HILL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002041,HILL LIFE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002224,FIT FOR LIFE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-7125824,LIFE GUARD PHARMACY L.L.C,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001368,CANADIAN SPECIALIST HOSPITAL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-3061943,BRITE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002400,BIO VISTA PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002052,S A M PHARMACY L.L.C (FORMERLY BLUEBELL INTERNATIONAL PHARMACY LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000964,BELHOUL SPECIALITY HOSPITAL PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047947,BADR AL SAMAA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001014,AXON MEDICA PHARMACY-JEBEL ALI,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047689,AXON MEDICA PHARMA LLC-AL RASHIDIYA,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-2346243,AXON MEDICA PHARMA LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047390,MUHAISNA STAR PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001796,PRIMACARE PHARMACY LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001237,ASTER PHARMACY 128 (BR. OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001354,ASTER PHARMACY 132 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0048025,ASTER GRAND AL NAHDA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001087,ASTER PHARMACY 120 (BR OF ASTER PHARMACIES GROUP LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045944,ASTER GOLDEN SANDS PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047309,ASTER MEDICINE SHOPPE MICRO(MEDICINE SHOPPE MICRO),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046394,ASTER MEDICOM-7 (FLAME PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0002031,ASTER PHARMACY 204(BR OF ASTER PHARMACIES GROUP LLC,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001659,ASTER HEALTHCARE HYPERMARKET (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-8017367,ASTER PHARMACY 100,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046358,ASTER EHSAN PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047767,ASTER ALFA (ALFA PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000891,ASTER PHARMACY101 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0048037,ASTER AVENUE PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001597,ASTER PHARMACY 147 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046858,ASTER MEDICOM-12(DUBAI CENTURY PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045774,ASTER ASMA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001819,ASTER PHARMACY 202 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000886,ASTER PHARMACY105 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001664,ASTER PHARMACY 200 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000938,ASTER PHARMACY104 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000937,ASTER PHARMACY103 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047534,ASTER NEW AL SHIFA (NEW AL SHIFA PHARMACY),DXB,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046424,ASTER SHINDAGHA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046522,ASTER MEDICOM-8 (CENTURY PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045953,FAISAL PHARMACY  (AL SHAFAR GROUP OF PHARMACIES),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001987,ASTER PHARMACY 158(BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001162,ASTER PHARMACY 115 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047377,DRAGON PHARMACY  (AL SHAFAR GROUP OF PHARMACIES),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047374,DRAGON MART PHARMACY  (AL SHAFAR GROUP OF PHARMACIES),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000909,ASTER PHARMACY 6 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045971,ASTER MEDICOM-5 (EMIRATES CO-OP. PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047173,JABAL ALI GARDENS PHARMACY (BR OF AL SHAFAR PHARMACY GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047375,HIGHWAY PHARMACY  (AL SHAFAR GROUP OF PHARMACIES),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001990,ASTER PHARMACY 152(BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000558,ASTER PHARMACY 3 (BR OF ASTER PHARMACY L.L.C),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047261,UMM HURAIR PHARMACY  (AL SHAFAR GROUP OF PHARMACIES),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001414,ASTER PHARMACY 134 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001300,ASTER PHARMACY 130 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045765,ASTER MEDICOM(AL PHARABI),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047958,ASTER TECOM PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045962,PANACEA PHARMACY REEF,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001606,ASTER PHARMACY 138 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001175,ASTER PHARMACY 129 (BR. OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001163,ASTER PHARMACY 124 (BR. ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001122,ASTER PHARMACY 126 (BR. OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000337,ASTER PHARMACY 1 (BR.ASTER PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045884,ASTER AL RAHA (AL RAHA PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045895,ASTER YACOUB PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045860,ASTER AL MUSALLA PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045922,ASTER ALSHAFAR PHARMACY (BR OF ASTER AL SHAFAR PHARMACIES GROUP L.L.C) (FORMERLY LAMCY PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047116,ASTER MEDICOM PHARMACY-14 (MADINA MALL PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046787,PANACEA PHARMACY MADINAT (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000854,ASTER PHARMACY110 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0046093,ASTER MEDICOM-6(MAZAYA PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045891,ASTER MEDICOM-2 (AL WASL PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000934,ASTER PHARMACY 116 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000989,ASTER PHARMACY 113 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0001415,ASTER PHARMACY 109 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0047892,ASTER BETA (BETA PHARMACY),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000957,ASTER PHARMACY 112 (BR OF ASTER PHARMACIES GRP),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0000921,ASTER PHARMACY 111 (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045752,ASTER UNION PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0045915,ASTER IBN AL AZWAR PHARMACY,DXB,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
